product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,inventory_gap,on_time_delivery,on_time_delivery_pct,supplier_performance_score,shipping_efficiency,total_cost,Average daily uage ,ROP
skincare,SKU10,15.70779568,11,996,2330.965802,Non-binary,51,13,80,2,Carrier C,8.673211211,Supplier 5,Kolkata,18,830,5,96.52735279,Pass,1.727313928,Road,Route B,806.1031777,31,TRUE,100,7.363656964,0.809340532,911.3037417,199.2,3585.6
skincare,SKU11,90.63545998,95,960,6099.944116,Female,46,23,60,1,Carrier A,4.523943124,Supplier 2,Kolkata,28,362,11,27.59236309,Pending,0.021169821,Air,Route A,126.7230334,26,TRUE,100,11.51058491,0.132003158,158.8393396,87.27272727,2443.636364
haircare,SKU12,71.21338908,41,336,2873.741446,Unknown,100,30,85,4,Carrier A,1.32527401,Supplier 4,Kolkata,3,563,3,32.32128621,Fail,2.161253748,Road,Route B,402.9687891,80,FALSE,0,16.08062687,1.199311837,436.6153493,112,336
skincare,SKU13,16.16039332,5,249,4052.738416,Male,80,8,48,9,Carrier A,9.537283061,Supplier 5,Bangalore,23,173,10,97.82905011,Pending,1.63107423,Road,Route B,547.2410052,60,FALSE,0,4.815537115,2.197754953,654.6073383,24.9,572.7
skincare,SKU14,99.17132864,26,562,8653.570926,Non-binary,54,29,78,5,Carrier B,2.039770189,Supplier 1,Kolkata,25,558,14,5.79143663,Pending,0.100682852,Air,Route B,929.23529,34,FALSE,0,14.55034143,1.653443547,937.0664968,40.14285714,1003.571429
skincare,SKU15,36.98924493,94,469,5442.086785,Non-binary,9,8,69,7,Carrier B,2.422039723,Supplier 1,Bangalore,14,580,7,97.12128175,Pass,2.264405761,Sea,Route B,127.8618,-11,FALSE,0,5.132202881,0.272626433,227.4051215,67,938
skincare,SKU16,7.54717211,74,280,6453.797968,Female,2,5,78,1,Carrier B,4.191324586,Supplier 1,Bangalore,3,399,21,77.1063425,Pass,1.012563089,Air,Route A,865.5257798,-18,TRUE,100,3.006281545,3.091163389,946.8234469,13.33333333,40
cosmetics,SKU17,81.46253437,82,126,2629.396435,Female,45,17,85,9,Carrier C,3.585418958,Supplier 1,Chennai,7,453,16,47.67968037,Fail,0.102020755,Air,Route C,670.9343908,25,FALSE,0,8.551010377,5.324875695,722.1994901,7.875,55.125
haircare,SKU18,36.44362777,23,620,9364.673505,Unknown,10,10,46,8,Carrier C,4.339224714,Supplier 2,Kolkata,18,374,17,27.10798085,Pending,2.231939111,Sea,Route A,593.4802587,-10,FALSE,0,6.115969555,0.957226208,624.9274643,36.47058824,656.4705882
skincare,SKU19,51.12387009,100,187,2553.495585,Unknown,48,11,94,3,Carrier A,4.742635883,Supplier 4,Chennai,20,694,16,82.37332059,Fail,3.646450865,Road,Route C,477.3076311,28,TRUE,100,7.323225433,2.552447089,564.4235876,11.6875,233.75
skincare,SKU20,96.34107244,22,320,8128.027697,Unknown,27,12,68,6,Carrier A,8.878334651,Supplier 1,Chennai,29,309,6,65.68625961,Pass,4.231416574,Air,Route B,493.8712153,7,FALSE,0,8.115708287,1.5433475,568.4358096,53.33333333,1546.666667
cosmetics,SKU21,84.89386898,60,601,7087.052696,Unknown,69,25,7,6,Carrier B,6.037883769,Supplier 5,Chennai,19,791,4,61.73572895,Pending,0.018607568,Air,Route C,523.3609147,49,FALSE,0,12.50930378,0.870816815,591.1345274,150.25,2854.75
haircare,SKU22,27.67978089,55,884,2390.807867,Unknown,71,1,63,10,Carrier A,9.567648921,Supplier 4,Kolkata,22,780,28,50.12083961,Fail,2.591275473,Rail,Route C,205.5719958,51,FALSE,0,1.795637737,0.232547504,265.2604844,31.57142857,694.5714286
cosmetics,SKU23,4.324341186,30,391,8858.367571,Unknown,84,5,29,7,Carrier A,2.924857601,Supplier 5,Kolkata,11,568,29,98.60995724,Pending,1.342291563,Rail,Route A,196.3294461,64,FALSE,0,3.171145781,0.502121333,297.864261,13.48275862,148.3103448
haircare,SKU24,4.156308359,32,209,9049.077861,Male,4,26,2,8,Carrier C,9.741291689,Supplier 2,Bangalore,28,447,3,40.3823597,Pending,3.691310293,Air,Route A,758.7247726,-16,FALSE,0,14.84565515,3.630261896,808.848424,69.66666667,1950.666667
haircare,SKU25,39.62934399,73,142,2174.777054,Male,82,11,52,3,Carrier C,2.231073681,Supplier 4,Kolkata,19,934,23,78.28038312,Pending,3.797231217,Road,Route B,458.5359457,62,TRUE,100,7.398615609,3.229126151,539.0474025,6.173913043,117.3043478
haircare,SKU26,97.44694662,9,353,3716.493326,Male,59,16,48,4,Carrier B,6.507548621,Supplier 2,Bangalore,26,171,4,15.97222976,Pass,2.119319737,Rail,Route A,617.8669165,39,FALSE,0,9.059659868,1.750331159,640.3466948,88.25,2294.5
cosmetics,SKU27,92.55736081,42,352,2686.457224,Unknown,47,9,62,8,Carrier C,7.406750953,Supplier 5,Mumbai,25,291,4,10.52824507,Fail,2.864667838,Sea,Route B,762.4591822,27,FALSE,0,5.932333919,2.16607716,780.3941782,88,2200
cosmetics,SKU28,2.397274706,12,394,6117.324615,Female,48,15,24,4,Carrier B,9.898140508,Supplier 1,Mumbai,13,171,7,59.42938181,Fail,0.815757079,Air,Route A,123.4370275,28,FALSE,0,7.90787854,0.31329194,192.7645498,56.28571429,731.7142857
cosmetics,SKU29,63.44755919,3,253,8318.903195,Female,45,5,67,7,Carrier B,8.100973145,Supplier 1,Kolkata,16,329,7,39.29287559,Pass,3.878098937,Road,Route B,764.9353759,25,FALSE,0,4.439049468,3.023459864,812.3292247,36.14285714,578.2857143
haircare,SKU30,8.022859211,10,327,2766.342367,Male,60,26,35,7,Carrier B,8.954528315,Supplier 4,Kolkata,27,806,30,51.6348934,Pending,0.965394705,Road,Route C,880.0809882,40,FALSE,0,13.48269735,2.691379087,940.67041,10.9,294.3
skincare,SKU31,50.84739305,28,168,9655.135103,Male,6,17,44,4,Carrier B,2.679660965,Supplier 3,Chennai,24,461,8,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066,-14,FALSE,0,9.994500003,3.627256966,672.3100132,21,504
skincare,SKU32,79.20993602,43,781,9571.550487,Unknown,89,13,64,4,Carrier C,6.599104901,Supplier 3,Kolkata,30,737,7,29.69246715,Pass,1.946036119,Road,Route A,761.1739095,69,FALSE,0,7.47301806,0.974614468,797.4654816,111.5714286,3347.142857
cosmetics,SKU33,64.795435,63,616,5149.99835,Non-binary,4,17,95,9,Carrier C,4.858270503,Supplier 5,Chennai,1,251,23,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955,-16,FALSE,0,10.27052301,0.602687158,399.9669935,26.7826087,26.7826087
skincare,SKU34,37.46759233,96,602,9061.710896,Unknown,1,26,21,7,Carrier A,1.019487571,Supplier 1,Chennai,4,452,10,10.75427282,Pass,0.646604559,Road,Route B,510.3580004,-19,FALSE,0,13.32330228,0.847770751,522.1317608,60.2,240.8
cosmetics,SKU35,84.95778682,11,449,6541.329345,Female,42,27,85,8,Carrier C,5.28818999,Supplier 1,Delhi,3,367,2,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712,22,FALSE,0,13.77057705,1.232562269,616.7134483,224.5,673.5
skincare,SKU36,9.813002579,34,963,7573.402458,Female,18,23,28,3,Carrier B,2.107951267,Supplier 2,Delhi,26,671,19,45.53136424,Fail,3.805533379,Air,Route C,403.8089742,-2,TRUE,100,13.40276669,0.419323956,451.4482898,50.68421053,1317.789474
skincare,SKU37,23.39984475,5,963,2438.33993,Female,25,8,21,9,Carrier A,1.532655274,Supplier 3,Kolkata,24,867,15,34.34327747,Pending,2.610288085,Sea,Route A,183.932968,5,FALSE,0,5.305144042,0.190999965,219.8089008,64.2,1540.8
cosmetics,SKU38,52.07593068,75,705,9692.31804,Non-binary,69,1,88,5,Carrier B,9.235931437,Supplier 5,Mumbai,10,841,12,5.930693646,Pending,0.613326899,Air,Route B,339.6728699,49,FALSE,0,0.80666345,0.481805482,354.839495,58.75,587.5
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,29,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946,58,TRUE,100,15.2259861,3.714050894,668.2413058,29.33333333,880
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,20,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724,70,FALSE,0,12.10663472,0.567855004,625.2177262,933,16794
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,19,38,8,Carrier B,5.773263744,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711,44,FALSE,0,9.522651131,0.495547421,376.6296994,79.42857143,1429.714286
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,27,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205,2,FALSE,0,15.96962764,4.101013416,739.6061895,22.14285714,575.7142857
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,29,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198,16,FALSE,0,14.68615238,1.197398174,746.015507,26,26
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,19,72,6,Carrier C,7.577449657,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696,-7,FALSE,0,10.98131316,0.664258175,640.5848259,51.05555556,357.3888889
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,7,52,6,Carrier B,5.215155009,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697,73,FALSE,0,5.109802306,20.63772878,566.8333965,0.96,24
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,29,6,8,Carrier B,4.070955837,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371,72,FALSE,0,16.3243053,0.442882343,461.8292462,37.34782609,672.2608696
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,15,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551,-16,FALSE,0,7.690286793,0.63912346,610.2940987,45.5,455
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,16,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914,10,TRUE,100,8.84905627,26.50522927,798.8741107,1.611111111,14.5
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,24,9,6,Carrier C,2.505621033,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685,77,FALSE,0,13.41290699,3.402930651,353.543605,3.535714286,99
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,23,82,10,Carrier A,6.247860915,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503,11,FALSE,0,13.8774004,0.7839631,547.6752691,30.14285714,602.8571429
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,4,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176,80,TRUE,100,2.886475586,4.512871899,713.9556465,5.5,99
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,11,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988,44,TRUE,100,6.56123581,0.735242063,620.6964002,30.37037037,303.7037037
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,25,54,3,Carrier B,1.013486566,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407,76,TRUE,100,13.20517379,3.102222354,835.0953862,14.23529412,14.23529412
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,22,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966,13,TRUE,100,12.23938599,1.308794186,848.5611234,21.44827586,557.6551724
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,11,11,5,Carrier A,5.014364955,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928,77,FALSE,0,7.77445983,0.460788764,358.3508382,140.2,3785.4
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,23,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087,5,FALSE,0,12.08687775,8.948502357,846.821523,3.321428571,79.71428571
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,18,51,1,Carrier B,9.160558535,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386,-15,TRUE,100,10.25558742,2.124190385,559.1314201,9.08,190.68
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,5,44,7,Carrier A,4.938438565,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352,-10,FALSE,0,3.36518736,0.12317448,180.3501889,128,2304
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,16,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736,80,FALSE,0,8.223597008,0.645814602,321.7687585,121,1331
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,27,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097,21,FALSE,0,14.92654531,1.13202391,521.7635229,15.83333333,459.1666667
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,23,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282,12,FALSE,0,13.68373527,1.404842002,252.0992626,9.75,136.5
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,2,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158,66,FALSE,0,1.937000702,1.188320385,349.1868599,19.28571429,250.7142857
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,19,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779,34,FALSE,0,11.31642165,2.793846138,709.8191154,24.6,442.8
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,27,75,6,Carrier C,4.585353468,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847,53,FALSE,0,13.57974316,5.75541065,784.5034806,22.33333333,379.6666667
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,24,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037,37,FALSE,0,14.45554798,1.216321863,564.0368678,21.76190476,348.1904762
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,17,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486,-7,FALSE,0,10.22403164,0.559436567,438.143928,25.14285714,603.4285714
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,9,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014,-8,FALSE,0,4.565977722,0.329964519,185.4774891,46.63636364,466.3636364
haircare,SKU68,37.93181238,29,163,3550.218433,Non-binary,0,8,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031,-20,FALSE,0,4.991733936,1.838688863,398.0141365,9.055555556,18.11111111
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,1,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062,75,TRUE,100,1.181193994,0.406385914,294.9962588,73,657
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,12,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987,-10,FALSE,0,6.915287799,5.727276296,201.0293983,2,44
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,2,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679,56,FALSE,0,2.039375304,0.636055042,445.0569357,63.7,127.4
cosmetics,SKU72,90.20442752,88,478,2633.121981,Non-binary,57,29,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698,37,FALSE,0,16.1066648,1.41829405,740.3046769,43.45454545,912.5454545
cosmetics,SKU73,83.85101768,41,375,7910.886916,Male,17,25,66,5,Carrier B,1.512936837,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001,-3,FALSE,0,14.81027303,2.310594072,914.8559758,93.75,1218.75
haircare,SKU74,3.170011414,64,904,5709.945296,Female,41,6,1,5,Carrier A,5.23765465,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568,21,FALSE,0,3.198306362,0.377823731,427.3711636,100.4444444,100.4444444
skincare,SKU75,92.99688423,29,106,1889.07359,Non-binary,16,20,56,10,Carrier C,2.473897761,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648,-4,FALSE,0,11.01503454,8.237071374,923.6683284,9.636363636,240.9090909
haircare,SKU76,69.10879955,23,241,5328.375984,Male,38,1,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501,18,FALSE,0,1.590018726,4.13864485,1068.791586,10.04166667,251.0416667
haircare,SKU77,57.44974296,14,359,2483.760178,Unknown,96,28,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989,76,FALSE,0,15.52757091,2.374841435,902.3014903,71.8,1866.8
haircare,SKU78,6.306883176,50,946,1292.458418,Unknown,5,4,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034,-15,FALSE,0,4.048440666,0.342063636,403.1857679,45.04761905,1126.190476
haircare,SKU79,57.05703122,56,198,7888.723268,Non-binary,31,25,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193,11,TRUE,100,12.58293581,1.775273745,415.8714476,16.5,82.5
skincare,SKU80,91.12831835,75,872,8651.672683,Unknown,39,14,41,2,Carrier C,2.833184679,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505,19,TRUE,100,8.424831099,0.903417249,867.5742632,174.4,1395.2
haircare,SKU81,72.81920693,9,774,4384.4134,Unknown,48,6,8,5,Carrier B,4.066277502,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359,28,FALSE,0,4.273773561,0.357594745,300.6342064,774,21672
skincare,SKU82,17.03493074,13,336,2943.381868,Unknown,42,19,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556,22,TRUE,100,11.56893852,1.755888506,599.1520159,12.92307692,77.53846154
haircare,SKU83,68.91124621,82,663,2411.754632,Unknown,65,24,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182,45,FALSE,0,12.38650307,1.030122184,785.6514516,132.6,2652
haircare,SKU84,89.10436729,99,618,2048.2901,Unknown,73,26,80,10,Carrier A,8.381615625,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006,53,FALSE,0,15.42172829,0.753166664,507.6472581,28.09090909,674.1818182
cosmetics,SKU85,76.96299442,83,25,8684.613059,Female,15,18,66,2,Carrier C,8.249168705,Supplier 5,Chennai,4,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683,-5,TRUE,100,9.6872145,33.70745972,920.8653442,12.5,50
skincare,SKU86,19.99817694,18,223,1229.591029,Unknown,32,14,22,6,Carrier B,1.45430531,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898,12,FALSE,0,8.025756465,1.184999453,340.3181651,12.38888889,49.55555556
haircare,SKU87,80.41403665,24,79,5133.846701,Male,5,7,55,10,Carrier A,6.575803798,Supplier 3,Chennai,27,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177,-15,FALSE,0,5.346868894,11.13112793,914.6320184,4.647058824,125.4705882
cosmetics,SKU88,75.27040698,58,737,9444.742033,Male,60,18,85,7,Carrier A,3.801253133,Supplier 2,Mumbai,21,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248,40,FALSE,0,9.361102201,0.140998978,175.9024202,67,1407
cosmetics,SKU89,97.76008558,10,134,5924.682567,Unknown,90,1,27,8,Carrier B,9.929816245,Supplier 1,Kolkata,23,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739,70,FALSE,0,1.453832867,3.861939816,574.0336636,12.18181818,280.1818182
skincare,SKU90,13.8819135,56,320,9592.63357,Non-binary,66,18,96,7,Carrier B,7.674430708,Supplier 3,Bangalore,8,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725,46,FALSE,0,9.609691112,3.09399513,1083.428867,40,320
cosmetics,SKU91,62.11196546,90,916,1935.206794,Male,98,22,85,7,Carrier B,7.471514084,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315,78,FALSE,0,11.31300093,1.088185921,1044.022712,32.71428571,163.5714286
cosmetics,SKU92,47.71423308,44,276,2100.129755,Male,90,25,10,8,Carrier B,4.469500026,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825,70,FALSE,0,12.66671591,0.833669472,297.174973,9.517241379,38.06896552
haircare,SKU93,69.290831,88,114,4531.402134,Unknown,63,17,66,1,Carrier C,7.006432059,Supplier 4,Chennai,21,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459,43,TRUE,100,10.5828909,7.223892751,866.1639303,5.7,119.7
cosmetics,SKU94,3.037688725,97,987,7888.356547,Unknown,77,26,72,9,Carrier B,6.942945942,Supplier 2,Delhi,12,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257,57,FALSE,0,13.73180375,0.857816868,913.9955815,70.5,846
haircare,SKU95,77.90392722,65,672,7386.363944,Unknown,15,14,26,9,Carrier B,8.63033887,Supplier 4,Mumbai,18,450,26,58.89068577,Pending,1.21088213,Air,Route A,778.8642414,-5,FALSE,0,7.605441065,1.159024151,846.385266,25.84615385,465.2307692
cosmetics,SKU96,24.42313142,29,324,7698.424766,Non-binary,67,2,32,3,Carrier C,5.352878044,Supplier 3,Mumbai,28,648,28,17.80375633,Pending,3.872047681,Road,Route A,188.7421411,47,TRUE,100,2.936023841,0.582537455,211.8987755,11.57142857,324
haircare,SKU97,3.526111259,56,62,4370.91658,Male,46,19,4,9,Carrier A,7.904845611,Supplier 4,Mumbai,10,535,13,65.76515593,Fail,3.376237835,Road,Route A,540.1324229,26,FALSE,0,11.18811892,8.711811867,613.8024244,4.769230769,47.69230769
skincare,SKU98,19.75460487,43,913,8525.95256,Female,53,1,27,7,Carrier B,1.409801095,Supplier 5,Chennai,28,581,9,5.604690864,Pending,2.908122169,Rail,Route A,882.1988635,33,FALSE,0,1.954061085,0.966263805,889.2133555,101.4444444,2840.444444
haircare,SKU99,68.5178327,17,627,9185.185829,Unknown,55,8,59,6,Carrier B,1.311023756,Supplier 2,Chennai,29,921,2,38.07289852,Fail,0.346027291,Rail,Route B,210.743009,35,FALSE,0,4.173013645,0.336113247,250.1269312,313.5,9091.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
